Time,Voltage P,Voltage V,Voltage T,P,V,log Calc P,logV,T,logT,P_copy,V_copy,logP_copy,logV_copy,Time,Voltage P,Voltage V,Voltage T,P,V,log Calc P,logV,T,logT,P_copy,V_copy,logP_copy,logV_copy
0,0,0,969,3,398,1,206,96,947,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
0,2,0,969,3,397,1,206,96,947,1,0.009700,1,987,-3,707,308,663,2,489,,,,,,,,
0,4,0,969,3,398,1,206,96,947,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
0,6,0,969,3,397,1,206,96,947,1,0.009700,1,987,-3,707,308,663,2,489,,,,,,,,
0,8,0,971,3,397,1,206,97,70,1,0.009700,1,987,-3,707,308,663,2,489,,,,,,,,
0,10,0,969,3,397,1,206,96,947,1,0.009700,1,987,-3,707,308,663,2,489,,,,,,,,
0,12,0,969,3,398,1,206,96,947,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
0,14,0,971,3,398,1,206,97,70,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
0,16,0,971,3,398,1,206,97,70,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
0,18,0,969,3,398,1,208,96,947,1,0.009700,1,987,-3,706,308,713,2,490,,,,,,,,
0,20,0,971,3,398,1,206,97,70,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
0,22,0,971,3,398,1,206,97,70,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
0,24,0,971,3,398,1,206,97,70,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
0,26,0,971,3,399,1,206,97,70,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
0,28,0,971,3,397,1,206,97,70,1,0.009700,1,987,-3,707,308,663,2,489,,,,,,,,
0,30,0,971,3,398,1,206,97,70,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
0,32,0,969,3,397,1,206,96,947,1,0.009700,1,987,-3,707,308,663,2,489,,,,,,,,
0,34,0,971,3,398,1,206,97,70,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
0,36,0,971,3,398,1,206,97,70,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
0,38,0,969,3,397,1,206,96,947,1,0.009700,1,987,-3,707,308,663,2,489,,,,,,,,
0,40,0,971,3,398,1,206,97,70,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
0,42,0,971,3,398,1,206,97,70,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
0,44,0,969,3,398,1,206,96,947,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
0,46,0,971,3,399,1,206,97,70,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
0,48,0,971,3,398,1,206,97,70,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
0,50,0,971,3,398,1,206,97,70,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
0,52,0,969,3,398,1,206,96,947,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
0,54,0,971,3,397,1,206,97,70,1,0.009700,1,987,-3,707,308,663,2,489,,,,,,,,
0,56,0,971,3,397,1,206,97,70,1,0.009700,1,987,-3,707,308,663,2,489,,,,,,,,
0,58,0,971,3,397,1,206,97,70,1,0.009700,1,987,-3,707,308,663,2,489,,,,,,,,
0,60,0,969,3,397,1,206,96,947,1,0.009700,1,987,-3,707,308,663,2,489,,,,,,,,
0,62,0,969,3,397,1,206,96,947,1,0.009700,1,987,-3,707,308,663,2,489,,,,,,,,
0,64,0,971,3,398,1,206,97,70,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
0,66,0,971,3,398,1,206,97,70,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
0,68,0,971,3,399,1,206,97,70,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
0,70,0,971,3,398,1,206,97,70,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
0,72,0,969,3,398,1,206,96,947,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
0,74,0,971,3,398,1,206,97,70,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
0,76,0,971,3,398,1,206,97,70,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
0,78,0,971,3,399,1,206,97,70,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
0,80,0,969,3,397,1,206,96,947,1,0.009700,1,987,-3,707,308,663,2,489,,,,,,,,
0,82,0,971,3,398,1,206,97,70,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
0,84,0,971,3,397,1,206,97,70,1,0.009700,1,987,-3,707,308,663,2,489,,,,,,,,
0,86,0,971,3,398,1,206,97,70,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
0,88,0,969,3,398,1,206,96,947,1,0.009700,1,987,-3,706,308,663,2,489,,,,,,,,
